listing_id,name,city,state,country,bedrooms,beds,bathrooms,accomodation_total,host_name,host_id,latitude,longitude,room_type,picture_url,amenities
43459604,"50"" HD SMART TV, Great Local Coffee, FAST WiFi",Rogers,Arkansas,United States,0,1,1.0,$84, ,344237506,34.5287,-93.05261,Entire home/apt,https://a0.muscache.com/im/pictures/8733cc87-4334-4fdd-a1ca-49f4f599a09d.jpg?im_w=720,"[1, 2, 4, 5, 9, 73, 394, 77, 79, 16, 657, 146, 85, 86, 23, 663, 89, 665, 90, 476, 30, 415, 671, 672, 33, 34, 98, 35, 611, 37, 39, 40, 104, 41, 42, 44, 45, 46, 51, 52, 57]"
49980132,"Cabin w/ Hot Tub, Amazing Views WIFI 50"" Smart TV",Fayetteville,Arkansas,United States,0,1,1.0,$184, ,7467446,36.42476,-93.78831,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-49980132/original/2a58de2a-ca0f-47fd-906e-fa46fc063fa8.jpeg?im_w=720,"[1, 4, 5, 8, 9, 137, 139, 12, 528, 657, 23, 280, 25, 27, 30, 415, 671, 672, 35, 37, 39, 40, 41, 44, 45, 46, 47, 51, 179, 308, 53, 57, 61, 77, 79, 85, 89, 90, 91, 93, 94, 95, 96, 98, 99, 611, 100, 236, 625, 626, 251]"
49980132,"Cabin w/ Hot Tub, Amazing Views WIFI 50"" Smart TV",Springdale,Arkansas,United States,0,1,1.0,$184, ,7467446,36.42476,-93.78831,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-49980132/original/2a58de2a-ca0f-47fd-906e-fa46fc063fa8.jpeg?im_w=720,"[1, 4, 5, 8, 9, 137, 139, 12, 528, 657, 23, 280, 25, 27, 30, 415, 671, 672, 35, 37, 39, 40, 41, 44, 45, 46, 47, 51, 179, 308, 53, 57, 61, 77, 79, 85, 89, 90, 91, 93, 94, 95, 96, 98, 99, 611, 100, 236, 625, 626, 251]"
740090183397449661,Luxury Private Downstairs Suite,Rogers,Arkansas,United States,1,2,1.0,$67, ,484049892,34.6660355,-93.0200146,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-740090183397449661/original/792f2587-ef44-421b-be9a-944cc556edf5.jpeg?im_w=720,"[1, 4, 5, 8, 392, 9, 137, 394, 139, 657, 280, 665, 27, 30, 415, 671, 672, 33, 34, 35, 36, 37, 39, 40, 41, 44, 45, 51, 179, 53, 57, 322, 73, 74, 77, 85, 86, 89, 90, 91, 219, 92, 93, 94, 95, 96, 99, 611, 232, 236, 625, 626, 251, 510]"
51091802,"The Winery Chateau Treehouse, Quiet Location, King",Fayetteville,Arkansas,United States,1,1,1.0,$146, ,100246445,36.4086,-93.75908,Entire home/apt,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51091802/original/6487ebeb-fad1-4a93-9d7a-4f5bfe0a4644.jpeg?im_w=720,"[1, 2, 35, 4, 100, 5, 39, 40, 9, 41, 45, 77, 46, 51, 85, 54, 89, 90, 27, 93, 30]"
51091802,"The Winery Chateau Treehouse, Quiet Location, King",Springdale,Arkansas,United States,1,1,1.0,$146, ,100246445,36.4086,-93.75908,Entire home/apt,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51091802/original/6487ebeb-fad1-4a93-9d7a-4f5bfe0a4644.jpeg?im_w=720,"[1, 2, 35, 4, 100, 5, 39, 40, 9, 41, 45, 77, 46, 51, 85, 54, 89, 90, 27, 93, 30]"
671936911315524295,Charming log cabin set in the country with wifi.,Rogers,Arkansas,United States,1,1,1.0,$79, ,366263609,35.54270316071618,-94.27839454788514,Entire home/apt,https://a0.muscache.com/im/pictures/miso/Hosting-671936911315524295/original/2f8c422d-3bbd-4b19-a430-b820eb92beb2.jpeg?im_w=720,"[1, 131, 4, 5, 8, 9, 137, 77, 79, 657, 85, 86, 90, 91, 93, 30, 94, 95, 415, 671, 96, 35, 36, 100, 37, 101, 39, 40, 41, 236, 625, 308, 251, 510]"
26354756,Dock Holiday at Fox Pass Cabins,Fayetteville,Arkansas,United States,1,2,1.0,$215, ,3676540,34.5741,-93.00301,Entire home/apt,https://a0.muscache.com/im/pictures/7d31803c-dc78-4ee2-b2b7-1e6c772a1e7a.jpg?im_w=720,"[1, 2, 4, 5, 69, 8, 392, 9, 139, 77, 79, 657, 85, 86, 280, 25, 89, 153, 665, 90, 27, 91, 219, 93, 30, 94, 31, 415, 671, 96, 672, 98, 35, 99, 36, 37, 101, 39, 40, 41, 44, 236, 45, 46, 626, 51, 308, 54]"
26354756,Dock Holiday at Fox Pass Cabins,Springdale,Arkansas,United States,1,2,1.0,$215, ,3676540,34.5741,-93.00301,Entire home/apt,https://a0.muscache.com/im/pictures/7d31803c-dc78-4ee2-b2b7-1e6c772a1e7a.jpg?im_w=720,"[1, 2, 4, 5, 69, 8, 392, 9, 139, 77, 79, 657, 85, 86, 280, 25, 89, 153, 665, 90, 27, 91, 219, 93, 30, 94, 31, 415, 671, 96, 672, 98, 35, 99, 36, 37, 101, 39, 40, 41, 44, 236, 45, 46, 626, 51, 308, 54]"
34259636,The Stargazer Cabin,Rogers,Arkansas,United States,0,3,1.0,$107, ,258677289,35.90967,-92.63192,Entire home/apt,https://a0.muscache.com/im/pictures/8d5e5414-a8a6-4603-9ddb-8e3d3d2fa513.jpg?im_w=720,"[1, 5, 8, 9, 12, 77, 85, 86, 89, 90, 27, 91, 93, 30, 94, 95, 32, 96, 33, 34, 35, 99, 36, 100, 101, 39, 40, 41, 44, 45, 51, 54, 57]"
